iter_count,loss
100,88.091736
200,45.162849
300,60.361847
400,86.098877
500,84.496918
600,84.984039
700,48.696491
800,34.192028
900,47.645275
1000,46.248718
1100,66.32869
1200,50.699406
1300,47.405903
1400,48.955776
1500,24.656761
1600,18.027843
1700,21.424934
1800,21.73595
1900,21.399851
2000,17.042149
2100,17.939905
2200,10.955314
2300,21.154907
2400,21.370813
2500,48.136887
2600,17.949986
2700,22.191238
2800,7.846254
2900,12.316934
3000,12.136269
3100,11.305399
3200,20.170605
3300,11.712912
3400,12.000373
3500,14.275505
3600,18.345833
3700,13.191809
3800,11.337278
3900,7.403475
4000,13.216022
4100,11.033102
4200,9.090528
4300,10.293156
4400,10.145716
4500,15.373232
4600,14.461108
4700,13.008343
4800,22.342806
4900,10.54388
5000,42.087673
5100,9.552341
5200,12.524335
5300,7.315588
5400,15.739856
5500,14.225335
5600,8.801209
5700,8.215666
5800,8.681123
5900,7.184274
6000,6.877404
6100,12.125134
6200,7.973401
6300,6.420572
6400,12.321355
6500,5.693097
6600,9.770785
6700,11.11453
6800,12.511292
6900,8.704182
7000,10.498376
7100,9.006368
7200,12.947147
7300,5.69254
7400,10.80471
7500,9.539759
7600,7.424712
7700,10.958048
7800,8.927052
7900,10.800185
8000,5.023963
8100,6.958489
8200,8.193119
8300,8.3319
8400,9.808762
8500,7.575141
8600,4.963684
8700,6.226151
8800,8.190723
8900,6.413841
9000,8.013714
9100,8.087558
9200,9.12698
9300,7.470162
9400,12.001953
9500,7.814247
9600,3.768919
9700,6.452571
9800,9.653396
9900,3.379239
10000,23.567795
10100,6.96701
10200,7.211583
10300,4.364985
10400,7.780779
10500,5.053154
10600,6.23848
10700,7.115832
10800,7.080412
10900,3.921773
11000,3.89
11100,5.156219
11200,5.942493
11300,11.096422
11400,5.388957
11500,4.737198
11600,7.531874
11700,11.179623
11800,5.994279
11900,3.460451
12000,13.072436
12100,6.075831
12200,4.531588
12300,3.910565
12400,5.74277
12500,4.670551
12600,4.154197
12700,4.997532
12800,9.643146
12900,4.850262
13000,7.069296
13100,7.446701
13200,5.114947
13300,5.283031
13400,4.861685
13500,4.546953
13600,4.079456
13700,8.073426
13800,6.431017
13900,10.695379
14000,5.678842
14100,9.321581
14200,5.102007
14300,3.759367
14400,4.61534
14500,5.268768
14600,6.19042
14700,4.652435
14800,6.610982
14900,5.372008
15000,3.691223
15100,4.78305
15200,4.361201
15300,4.997244
15400,5.790164
15500,6.347749
15600,4.772162
15700,4.156034
15800,10.835818
15900,5.710042
16000,4.001245
16100,5.930494
16200,7.599468
16300,4.172264
16400,4.636943
16500,4.939988
16600,5.041249
16700,4.827789
16800,3.507895
16900,5.322809
17000,3.650948
17100,6.383159
17200,4.746774
17300,3.395194
17400,4.424656
17500,4.062054
17600,6.200256
17700,3.589282
17800,4.176566
17900,3.174819
18000,6.365298
18100,3.346782
18200,2.345358
